,Rainfall
2000-01-31,1.1015625
2000-02-29,172.8984375
2000-03-31,15.5
2000-04-30,42.296875
2000-05-31,14.796875
2000-06-30,3.5
2000-07-31,2.3984375
2000-08-31,8.703125
2000-09-30,0.6015625
2000-10-31,29.5
2000-11-30,36.0
2000-12-31,0.0
2001-01-31,13.5
2001-02-28,21.3984375
2001-03-31,9.0
2001-04-30,1.796875
2001-05-31,0.203125
2001-06-30,93.6015625
2001-07-31,14.5
2001-08-31,0.6015625
2001-09-30,1.796875
2001-10-31,31.8984375
2001-11-30,0.296875
2001-12-31,0.703125
2002-01-31,13.3984375
2002-02-28,14.3984375
2002-03-31,1.1015625
2002-04-30,3.203125
2002-05-31,14.1015625
2002-06-30,0.296875
2002-07-31,0.1015625
2002-08-31,0.0
2002-09-30,11.296875
2002-10-31,0.0
2002-11-30,1.3984375
2002-12-31,10.6015625
2003-01-31,0.0
2003-02-28,32.0
2003-03-31,0.203125
2003-04-30,51.8984375
2003-05-31,32.0
2003-06-30,7.1015625
2003-07-31,12.0
2003-08-31,52.1015625
2003-09-30,0.1015625
2003-10-31,10.203125
2003-11-30,17.796875
2003-12-31,25.703125
2004-01-31,1.703125
2004-02-29,9.296875
2004-03-31,0.203125
2004-04-30,2.3984375
2004-05-31,29.0
2004-06-30,23.8984375
2004-07-31,5.3984375
2004-08-31,15.6015625
2004-09-30,27.6015625
2004-10-31,4.1015625
2004-11-30,14.1015625
2004-12-31,2.5
2005-01-31,1.296875
2005-02-28,0.0
2005-03-31,0.0
2005-04-30,4.703125
2005-05-31,0.0
2005-06-30,80.296875
2005-07-31,10.296875
2005-08-31,7.6015625
2005-09-30,21.5
2005-10-31,4.703125
2005-11-30,5.796875
2005-12-31,0.3984375
2006-01-31,28.796875
2006-02-28,1.203125
2006-03-31,14.796875
2006-04-30,4.5
2006-05-31,0.0
2006-06-30,36.5
2006-07-31,23.703125
2006-08-31,0.0
2006-09-30,0.296875
2006-10-31,1.1015625
2006-11-30,2.203125
2006-12-31,75.3984375
2007-01-31,42.296875
2007-02-28,2.6015625
2007-03-31,16.703125
2007-04-30,17.0
2007-05-31,93.8984375
2007-06-30,3.0
2007-07-31,0.0
2007-08-31,10.0
2007-09-30,0.0
2007-10-31,16.0
2007-11-30,26.703125
2007-12-31,10.0
2008-01-31,4.796875
2008-02-29,23.6015625
2008-03-31,1.703125
2008-04-30,0.0
2008-05-31,0.0
2008-06-30,36.796875
2008-07-31,1.6015625
2008-08-31,7.5
2008-09-30,3.6015625
2008-10-31,3.3984375
2008-11-30,55.203125
2008-12-31,21.703125
2009-01-31,14.296875
2009-02-28,1.1015625
2009-03-31,0.796875
2009-04-30,5.5
2009-05-31,7.703125
2009-06-30,14.3984375
2009-07-31,2.3984375
2009-08-31,0.796875
2009-09-30,5.203125
2009-10-31,0.296875
2009-11-30,17.3984375
2009-12-31,16.3984375
2010-01-31,20.8984375
2010-02-28,164.0
2010-03-31,24.203125
2010-04-30,15.5
2010-05-31,13.3984375
2010-06-30,1.8984375
2010-07-31,109.5
2010-08-31,13.0
2010-09-30,18.5
2010-10-31,49.8984375
2010-11-30,48.0
2010-12-31,39.796875
2011-01-31,130.203125
2011-02-28,62.8984375
2011-03-31,96.203125
2011-04-30,7.6015625
2011-05-31,3.203125
2011-06-30,0.203125
2011-07-31,1.8984375
2011-08-31,6.796875
2011-09-30,11.1015625
2011-10-31,23.3984375
2011-11-30,64.0
2011-12-31,22.5
2012-01-31,62.8984375
2012-02-29,80.703125
2012-03-31,73.5
2012-04-30,0.0
2012-05-31,0.1015625
2012-06-30,15.8984375
2012-07-31,40.1015625
2012-08-31,0.296875
2012-09-30,0.6015625
2012-10-31,4.5
2012-11-30,1.796875
2012-12-31,2.796875
2013-01-31,16.3984375
2013-02-28,22.703125
2013-03-31,32.296875
2013-04-30,0.296875
2013-05-31,20.0
2013-06-30,33.0
2013-07-31,1.703125
2013-08-31,0.0
2013-09-30,2.8984375
2013-10-31,4.8984375
2013-11-30,0.1015625
2013-12-31,6.203125
2014-01-31,0.1015625
2014-02-28,21.8984375
2014-03-31,15.1015625
2014-04-30,23.296875
2014-05-31,11.703125
2014-06-30,7.6015625
2014-07-31,0.1015625
2014-08-31,56.703125
2014-09-30,34.8984375
2014-10-31,0.0
2014-11-30,4.203125
2014-12-31,8.703125
2015-01-31,130.3984375
2015-02-28,11.8984375
2015-03-31,0.0
2015-04-30,17.796875
2015-05-31,22.0
2015-06-30,29.5
2015-07-31,5.3984375
2015-08-31,11.1015625
2015-09-30,0.296875
2015-10-31,0.1015625
2015-11-30,4.5
2015-12-31,31.8984375
2016-01-31,66.203125
2016-02-29,10.0
2016-03-31,8.296875
2016-04-30,11.203125
2016-05-31,35.5
2016-06-30,39.6015625
2016-07-31,2.5
2016-08-31,19.203125
2016-09-30,114.203125
2016-10-31,2.6015625
2016-11-30,3.1015625
2016-12-31,73.6015625
2017-01-31,35.203125
2017-02-28,0.0
2017-03-31,2.8984375
2017-04-30,20.1015625
2017-05-31,2.8984375
2017-06-30,17.796875
2017-07-31,6.5
2017-08-31,10.703125
2017-09-30,0.0
2017-10-31,31.703125
2017-11-30,7.5
2017-12-31,6.8984375
2018-01-31,10.296875
2018-02-28,4.0
2018-03-31,3.5
2018-04-30,0.0
2018-05-31,1.296875
2018-06-30,7.1015625
2018-07-31,0.1015625
2018-08-31,2.1015625
2018-09-30,0.0
2018-10-31,5.3984375
2018-11-30,16.1015625
2018-12-31,2.6015625
2019-01-31,7.8984375
2019-02-28,4.5
2019-03-31,4.3984375
2019-04-30,4.296875
2019-05-31,6.3984375
2019-06-30,3.796875
2019-07-31,1.3984375
2019-08-31,0.0
2019-09-30,0.796875
2019-10-31,0.796875
2019-11-30,9.1015625
2019-12-31,0.1015625
2020-01-31,1.203125
2020-02-29,0.796875
2020-03-31,41.296875
2020-04-30,27.6015625
2020-05-31,2.703125
2020-06-30,0.1015625
2020-07-31,7.1015625
2020-08-31,42.3984375
2020-09-30,24.1015625
2020-10-31,36.1015625
2020-11-30,2.703125
2020-12-31,15.203125
2021-01-31,46.203125
2021-02-28,2.0
2021-03-31,45.203125
2021-04-30,0.0
2021-05-31,0.5
2021-06-30,20.5
2021-07-31,1.6015625
2021-08-31,2.3984375
2021-09-30,17.6015625
2021-10-31,18.296875
2021-11-30,27.296875
2021-12-31,5.296875
2022-01-31,55.5
2022-02-28,18.6015625
2022-03-31,5.6015625
